"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"10025","New York","NY","New York","New York",1,,2537.5,2555,2636.5,2400,2325,2450,2495,2542.5,2550,2500,2495,2372.5,2450,2595,2620,2500,2500,2500,2550,2595,2595,2625,2699.5,2700,2797.5,2850,2750,2725,2695,2695,2730,2800,2801,2700,2700,2875,2800,2800,2850,2900,2900,2900,2850,2800,2750,3200,3050,3096.5,3050,3100,3100,3100,3099,3100,3156,3025,2995,2985,3050,3050,3040,3088,3012.5,3050,3069,3069,3000,3100,3025,3000,3012.5,3100,3034.5,3000,2950,3000,2995,3025,2995,2975,2900,2900,3000,3025
"60657","Chicago","IL","Chicago","Cook",2,,,,,1075,1095,1095,1080,1115,1125,1125,1095,1095,1095,1095,1125,1125,1100,1100,1125,1125,1125,1112.5,1095,1105,1150,1150,1175,1195,1205,1195,1200,1217.5,1230,1250,1275,1250,1245,1245,1245,1245,1250,1250,1250,1270,1265,1275,1275,1250,1250,1255,1260,1265,1295,1295,1300,1305,1325,1315,1300,1297,1295,1300,1325,1325,1345,1395,1395,1395,1400,1395,1375,1345,1350,1295,1295,1350,1445,1450,1450,1450,1465,1450,1420,1399
"10023","New York","NY","New York","New York",3,,2995,3025,3000,2750,2700,2930,3000,3000,2885,2900,2900,2950,2999,3100,3148.5,3095,3037.5,3000,3000,3100,3000,3000,3000,3100,3126,3100,3042.5,3000,3000,3150,3047,3042,3100,3125,3150,3200,3200,3100,3195,3200,3200,3200,3199,3200,3175,3300,3350,3300,3300,3350,3300,3300,3300,3350,3385,3300,3300,3350,3350,3350,3300,3300,3300,3300,3300,3325,3300,3300,3300,3100,3300,3300,3300,3300,3300,3200,3272.5,3255,3300,3300,3300,3300,3295,3275
"60614","Chicago","IL","Chicago","Cook",4,,,,,1250,1200,1199,1175,1195,1245,1260,1260,1295,1300,1295,1375,1375,1365,1365,1350,1310,1400,1426,1475,1482.5,1490,1500,1545,1500,1492.5,1450,1450,1500,1500,1450,1445,1460,1450,1450,1550,1525,1495,1450,1425,1425,1425,1395,1395,1472.5,1500,1647.5,1500,1525,1485,1397.5,1475,1475,1450,1425,1445,1445,1400,1550,1550,1525,1655,1550,1525,1455,1475,1455,1515,1500,1440,1497.5,1500,1575,1550,1547.5,1495,1500,1515,1535,1550,1595
"10002","New York","NY","New York","New York",5,,,,,,,,,,,,,,,,,2295,2262.5,2300,2295,2350,2350,2295,2275,2350,2300,2300,2300,2350,2350,2350,2395,2395,2400,2450,2400,2396,2400,2400,2400,2400,2400,2450,2495,2500,2500,2600,2550,2550,2550,2512.5,2600,2562.5,2585,2575,2500,2500,2650,2650,2692.5,2695,2650,2650,2650,2695,2650,2650,2650,2550,2595,2595,2625,2650,2550,2600,2500,2500,2650,2595,2600,2650,2600,2600,2595,2575
"60640","Chicago","IL","Chicago","Cook",6,,,,,865,855,885,895,895,895,875,887.5,875,875,885,885,900,945,950,935,960,950,950,995,1020,1005,1035,1050,1035,1025,1025,1050,1050,1065,1095,1100,1095,1050,1050,1050,1080,1050,1050,1050,1100,1100,1100,1097.5,1100,1095,1095,1099.5,1145,1150,1075,1150,1125,1125,1160,1165,1175,1150,1150,1150,1175,1195,1175,1175,1175,1195,1195,1175,1200,1165,1150,1150,1172.5,1225,1225,1250,1225,1225,1198,1200,1195
"10467","New York","NY","New York","Bronx",7,,,,,,,,,,1100,1100,1050,1000,1000,1000,1000,1000,1000,1000,1000,1050,1050,1100,1100,1100,1050,1020,1050,1050,1100,1100,1125,1100,1100,1100,1150,1150,1150,1150,1150,1150,1100,1150,1150,1175,1200,1200,1200,1200,1200,1200,1200,1215,1225,1250,1250,1250,1250,1300,1300,1300,1300,1350,1350,1350,1350,1350,1350,1325,1330,1350,1350,1375,1350,1350,1350,1400,1395,1400,1400,1400,1400,1400,1450,1425
"77084","Houston","TX","Houston","Harris",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,957.5,960.5,967.5,970,996,970,976,976,970,965,891,948.5,910,911.5,889,931,891.5,992.5
"94109","San Francisco","CA","San Francisco","San Francisco",9,,,,,,,,,,,,,2472.5,2395,2375,1995,2150,2195,2195,2150,2495,2485,2250,2350,2300,2395,2495,2405,2495,2597.5,2600,2559,2600,2797.5,2850,2800,2795,2797.5,3150,3125,3150,2897.5,2800,2885,3195,3095,2995,3095,3097.5,3200,3200,3260,3197.5,3195,3400,3400,3450,3450,3400,3425,3300,3295,3195,3250,3200,3450,3395,3197.5,3200,3200,3145,2915,2995,2895,3000,2995,3100,3100,3090,2932.5,2907.5,2997.5,3000,3095,3195
"75070","McKinney","TX","Dallas-Fort Worth","Collin",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871,868,860.5,869,853,880,900,900,893,900,915,944,886,886,889.5,904,947,977,938,938,964.5,960,947.5,939,944,974,965,975,1009.5,986,1049,1047,1011,933,1011,999,979,988.5,995,1026,1025,1020,1025,1030,1056
"11226","New York","NY","New York","Kings",11,,,,,,,,,,1250,1250,1250,1250,1250,1275,1275,1275,1250,1250,1250,1225,1275,1295,1295,1300,1300,1300,1300,1300,1325,1325,1350,1350,1375,1375,1400,1450,1400,1400,1450,1450,1450,1450,1450,1495,1500,1500,1500,1500,1500,1500,1500,1500,1500,1550,1575,1650,1600,1600,1600,1625,1650,1650,1600,1600,1600,1649,1600,1600,1625,1750,1696,1750,1846,1750,1639,1650,1600,1675,1700,1700,1700,1700,1650,1650
"77494","Cinco Ranch","TX","Houston","Fort Bend",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056.5,1009,1010,1010,1055,1078,1022,1078,1085,1079,1055,1052,1050,1025,1000,1000,980,1032.5,1004.5,1019.5,1005,985,1021,1020,1020,1020,1063.5,1000,1000,985,1029,1039,1205,1057,1095.5,1104,1127,1225,1175,1085,1051.5,1058,1060.5,1119,1130,1097.5,1119,1175,1165,1124,1190
"11375","New York","NY","New York","Queens",13,,,,,1500,1450,1450,1462.5,1575,1580,1500,1500,1550,1525,1500,1550,1612.5,1550,1550,1550,1600,1612.5,1600,1600,1600,1600,1600,1650,1650,1625,1625,1625,1650,1650,1725,1795,1795,1700,1692.5,1695,1700,1725,1725,1725,1750,1750,1800,1775,1799.5,1799.5,1795,1795,1800,1800,1850,1850,1895,1875,1885,1875,1885,1825,1825,1850,1875,1875,1850,1900,1950,1899.5,1900,1900,1900,1900,1900,1850,1875,1850,1875,1875,1875,1875,1875,1850,1885
"10016","New York","NY","New York","New York",14,3047.5,2995,3187.5,2875,2750,2600,2750,2750,2800,2800,2850,2890,2900,2895,2900,2850,2863,2900,2895,2950,2995,3000,3050,3050,3095,3095,3100,3050,3000,3000,3050,3044,3042,3049.5,3100,3100,3150,3100,3100,3100,3100,3100,3100,3100,3150,3154,3500,3485,3400,3395,3395,3400,3395,3415.5,3438,3450,3420,3447.5,3451,3452,3450,3400,3395,3350,3324,3395,3420,3400,3420,3400,3353,3395,3395,3395,3324,3350,3314,3351.5,3400,3400,3400,3399,3400,3440,3420
"11235","New York","NY","New York","Kings",15,,,,,,,,,,1300,1300,1300,1300,1300,1297.5,1297.5,1262.5,1275,1300,1300,1312.5,1325,1327,1340,1375,1375,1375,1375,1375,1375,1400,1375,1375,1400,1385,1400,1400,1400,1400,1400,1400,1400,1400,1400,1425,1475,1475,1460,1487.5,1500,1500,1495,1495,1497.5,1525,1600,1600,1550,1575,1600,1625,1624,1625,1600,1600,1600,1625,1660,1650,1675,1675,1695,1725,1685,1695,1675,1675,1675,1695,1675,1799,1850,1850,1800,1775
"60647","Chicago","IL","Chicago","Cook",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,995,1085,1195,1195,1112.5,1195,1195,1195,1150,1195,1100,1150,1125,1175,1195,1195,1195,1250,1195,1195,1097.5,1095,1062.5,1150,1250,1095,1250,1295,1250,1250,1250,1200,1190,1195,1195,1250,1295,1295,1325,1350,1295,1295,1250,1250,1195,1195,1250,1295,1297.5,1325,1350,1400,1395,1395,1395,1395
"90250","Hawthorne","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1150,1125,1195,1212.5,1225,1225,1250,1250,1295,1300,1300,1300,1325,1300,1300
"10009","New York","NY","New York","New York",18,,,,,2200,2450,2200,2225,2400,2300,2395,2450,2495,2550,2560,2595,2595,2600,2675,2675,2700,2750,2695,2750,2795,2800,2795,2699,2700,2595,2699,2755,2795,2750,2695,2695,2700,2695,2695,2650,2650,2795,2750,2750,2800,2795,3154.5,2999,2895,2895,2895,2900,2895,2895,2895,2740,2695,2795,2795,2850,2995,2900,2852,2834,2880,2900,2895,2992.5,3000,3018.5,2999.5,2895,2850,2795,2800,2800,2737.5,2850,2800,2850,2850,2850,2800,2800,2800
"60618","Chicago","IL","Chicago","Cook",19,,,,,,,,895,895,850,875,875,870,875,832.5,795,875,895,910,900,950,875,875,910,900,850,895,900,925,925,925,995,975,927.5,950,975,992.5,995,1000,950,975,1000,1000,1050,1025,1000,1000,1025,1095,1095,1050,1050,1075,1075,1000,1050,1025,1075,1100,1200,1150,1100,1150,1195,1112.5,1175,1150,1097,1150,1195,1150,1195,1150,1100,1050,1100,1150,1150,1230,1200,1150,1200,1250,1200,1195
"10128","New York","NY","New York","New York",20,,,,2100,2195,2100,2345,2450,2455,2350,2350,2450,2400,2495,2500,2400,2395,2375,2300,2375,2400,2450,2450,2500,2400,2495,2550,2495,2495,2400,2395,2399.5,2350,2399.5,2250,2435,2575,2600,2550,2550,2527,2550,2599,2595,2500,2550,2600,2600,2650,2675,2695,2700,2650,2695,2700,2680,2595,2650,2595,2695,2695,2675,2695,2695,2700,2737.5,2725,2690,2695,2675,2700,2665,2700,2700,2675,2700,2599,2675,2695,2700,2600,2600,2675,2750,2765
"10011","New York","NY","New York","New York",21,,,,2895,2872.5,2750,2995,3000,3200,3100,2997.5,3100,3025,3100,3300,3300,3395,3295,3297.5,3400,3400,3300,3382.5,3395,3350,3300,3395,3400,3400,3300,3300,3400,3395,3400,3500,3500,3500,3500,3400,3450,3420,3400,3450,3450,3500,3500,3600,3650,3750,3695,3600,3795,3800,3796,3800,3800,3700,3648,3600,3795,3750,3795,3650,3600,3668.5,3700,3650,3600,3650,3795,3600,3690,3650,3600,3666,3576,3595,3782,3771.5,3795,3815.5,3758,3675,3700,3725
"90046","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097,2075,2025,2187.5,2195,2095,1950,2007.5,1950,2065,1918.5,2001.5,2106,2000,1900,2175,2195,2200,2200,2195,2195,2180,2195,2102.5
"10003","New York","NY","New York","New York",23,,2897.5,2950,2950,2900,2925,2900,2925,2950,2995,2950,2900,2950,3000,3000,3000,3092.5,3082.5,3000,3095,3150,3150,3100,3100,3200,3200,3100,3150,3100,3100,3195,3195,3195,3200,3150,3100,3150,3100,3200,3295,3250,3250,3200,3200,3250,3200,3312.5,3395,3395,3395,3350,3400,3500,3500,3400,3450,3300,3300,3272.5,3300,3400,3425,3395,3400,3395,3400,3450,3400,3395,3300,3300,3300,3350,3350,3350,3400,3350,3400,3300,3300,3295,3200,3200,3250,3300
"10462","New York","NY","New York","Bronx",24,,,,,,,,,,1100,1085,1100,1145,1100,1100,1100,1075,1100,1100,1100,1100,1100,1150,1150,1100,1150,1100,1150,1175,1175,1245,1199,1199,1199,1199,1199,1195,1199,1200,1199,1199,1199,1199,1200,1200,1295,1250,1250,1250,1250,1250,1250,1250,1295,1300,1300,1300,1300,1350,1375,1350,1350,1350,1350,1400,1400,1425,1400,1400,1450,1400,1450,1450,1400,1400,1425,1400,1400,1400,1400,1400,1422.5,1425,1425,1425
"10456","New York","NY","New York","Bronx",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325,1325,1350,1350,1350,1325,1300,1400,1350,1350,1387.5,1300,1400,1454.5,1425,1450
