city,state,avg_housing_rate
New York,NY,2323.6666666666665
Los Angeles,CA,2735.1666666666665
Chicago,IL,1659.3333333333333
Houston,TX,1436.1666666666667
Philadelphia,PA,1215.1666666666667
Phoenix,AZ,1241.1666666666667
Las Vegas,NV,1232.5
San Antonio,TX,1239.8333333333333
San Diego,CA,2453.8333333333335
Dallas,TX,1379.3333333333333
San Jose,CA,3332.1666666666665
Jacksonville,FL,1145.6666666666667
San Francisco,CA,4453.833333333333
Indianapolis,IN,1082.8333333333333
Austin,TX,1790.1666666666667
Fort Worth,TX,1361.8333333333333
Detroit,MI,747.6666666666666
Columbus,OH,1123.3333333333333
Memphis,TN,845.0
Charlotte,NC,1287.8333333333333
El Paso,TX,1000.6666666666666
Boston,MA,2499.0
Seattle,WA,2479.0
Baltimore,MD,1312.5
Denver,CO,1979.0
Washington,DC,2553.5
Nashville,TN,1529.0
Milwaukee,WI,1002.5
Tucson,AZ,1050.3333333333333
Portland,OR,1847.5
Oklahoma City,OK,1083.8333333333333
Omaha,NE,1294.5
Albuquerque,NM,1197.8333333333333
Fresno,CA,1228.6666666666667
Sacramento,CA,1493.5
Mesa,AZ,1272.3333333333333
Long Beach,CA,2349.3333333333335
Kansas City,MO,1019.1666666666666
Virginia Beach,VA,1527.5
Colorado Springs,CO,1378.8333333333333
Atlanta,GA,1474.6666666666667
Miami,FL,2115.1666666666665
Oakland,CA,2888.0
Tulsa,OK,976.8333333333334
Cleveland,OH,837.6666666666666
Honolulu,HI,2435.5
Minneapolis,MN,1541.0
Baton Rouge,LA,1266.3333333333333
New Orleans,LA,1409.6666666666667
Arlington,TX,1437.6666666666667
Raleigh,NC,1376.1666666666667
Wichita,KS,896.3333333333334
Tampa,FL,1304.5
Anaheim,CA,2596.6666666666665
Santa Ana,CA,2465.5
Aurora,CO,1778.3333333333333
Saint Louis,MO,890.5
Corpus Christi,TX,1368.6666666666667
Cincinnati,OH,1086.1666666666667
Pittsburgh,PA,1110.6666666666667
Riverside,CA,1760.0
Marietta,GA,1577.3333333333333
Anchorage,AK,1910.5
Bakersfield,CA,1335.0
Saint Paul,MN,1386.3333333333333
Toledo,OH,783.5
Silver Spring,MD,2164.3333333333335
Lexington,KY,1207.1666666666667
